MCC/MNC,Ext.,Name,username,password,Number,APN,Auth Mode,DNS1,DNS2
515033,,Smart Bro,,,*99#,smartbro,1,,
515033,,SMART internet,,,*99#,internet,1,,
515033,,SMART LTE,,,*99#,SMARTLTE,1,,
515032,,Smart Bro,,,*99#,smartbro,1,,
515032,,SMART internet,,,*99#,internet,1,,
515032,,SMART LTE,,,*99#,SMARTLTE,1,,
515031,,Smart Bro,,,*99#,smartbro,1,,
515031,,SMART internet,,,*99#,internet,1,,
515031,,SMART LTE,,,*99#,SMARTLTE,1,,
515030,,Smart Bro,,,*99#,smartbro,1,,
515030,,SMART internet,,,*99#,internet,1,,
515030,,SMART LTE,,,*99#,SMARTLTE,1,,
502153,,unifi,,,*99#,webebb,0,,
502152,,yesnet,,,*99#,yesnet,0,,
416770,,Orange JO,,,*99#,net.orange.jo,0,,
405932,,Videocon Internet,,,*99#,vinternet.com,2,,
405931,,Etisalat Internet,,,*99#,internet,2,,
405930,,Etisalat Internet,,,*99#,internet,2,,
405929,,UNINOR Internet,,,*99#,uninor,2,,
405928,,UNINOR Internet,,,*99#,uninor,2,,
405927,,UNINOR Internet,,,*99#,uninor,2,,
405926,,UNINOR Internet,,,*99#,uninor,2,,
405925,,UNINOR Internet,,,*99#,uninor,2,,
405924,,Etisalat Internet,,,*99#,internet,2,,
405923,,Etisalat Internet,,,*99#,internet,2,,
405922,,Etisalat Internet,,,*99#,internet,2,,
405921,,Etisalat Internet,,,*99#,internet,2,,
405920,,Etisalat Internet,,,*99#,internet,2,,
405919,,Etisalat Internet,,,*99#,internet,2,,
405918,,Etisalat Internet,,,*99#,internet,2,,
405917,,Etisalat Internet,,,*99#,internet,2,,
405916,,Etisalat Internet,,,*99#,internet,2,,
405915,,Etisalat Internet,,,*99#,internet,2,,
405914,,Etisalat Internet,,,*99#,internet,2,,
405913,,Etisalat Internet,,,*99#,internet,2,,
405912,,Etisalat Internet,,,*99#,internet,2,,
405911,,Idea Internet,,,*99#,internet,2,,
405910,,Idea Internet,,,*99#,internet,2,,
405909,,Idea Internet,,,*99#,internet,2,,
405908,,Idea Internet,,,*99#,internet,2,,
405886,,S Tel E Life,,,*99#,gprs.stel.in,2,,
405885,,S Tel E Life,,,*99#,gprs.stel.in,2,,
405884,,S Tel E Life,,,*99#,gprs.stel.in,2,,
405883,,S Tel E Life,,,*99#,gprs.stel.in,2,,
405882,,S Tel E Life,,,*99#,gprs.stel.in,2,,
405881,,S Tel E Life,,,*99#,gprs.stel.in,2,,
405880,,UNINOR Internet,,,*99#,uninor,2,,
405879,,UNINOR Internet,,,*99#,uninor,2,,
405878,,UNINOR Internet,,,*99#,uninor,2,,
405877,,UNINOR Internet,,,*99#,uninor,2,,
405876,,UNINOR Internet,,,*99#,uninor,2,,
405875,,UNINOR Internet,,,*99#,uninor,2,,
405874,,Jionet,,,*99#,jionet,0,,
405873,,Jionet,,,*99#,jionet,0,,
405872,,Jionet,,,*99#,jionet,0,,
405871,,Jionet,,,*99#,jionet,0,,
405870,,Jionet,,,*99#,jionet,0,,
405869,,Jionet,,,*99#,jionet,0,,
405868,,Jionet,,,*99#,jionet,0,,
405867,,Jionet,,,*99#,jionet,0,,
405866,,Jionet,,,*99#,jionet,0,,
405865,,Jionet,,,*99#,jionet,0,,
405864,,Jionet,,,*99#,jionet,0,,
405863,,Jionet,,,*99#,jionet,0,,
405862,,Jionet,,,*99#,jionet,0,,
405861,,Jionet,,,*99#,jionet,0,,
405860,,Jionet,,,*99#,jionet,0,,
405859,,Jionet,,,*99#,jionet,0,,
405858,,Jionet,,,*99#,jionet,0,,
405857,,Jionet,,,*99#,jionet,0,,
405856,,Jionet,,,*99#,jionet,0,,
405855,,Jionet,,,*99#,jionet,0,,
405854,,Jionet,,,*99#,jionet,0,,
405853,,Idea Internet,,,*99#,internet,2,,
405852,,Idea Internet,,,*99#,internet,2,,
405851,,Idea Internet,,,*99#,internet,2,,
405850,,Idea Internet,,,*99#,internet,2,,
405849,,Idea Internet,,,*99#,internet,2,,
405848,,Idea Internet,,,*99#,internet,2,,
405847,,Idea Internet,,,*99#,internet,2,,
405846,,Idea Internet,,,*99#,internet,2,,
405845,,Idea Internet,,,*99#,internet,2,,
405844,,UNINOR Internet,,,*99#,uninor,2,,
405843,,Videocon Internet,,,*99#,vinternet.com,2,,
405842,,Videocon Internet,,,*99#,vinternet.com,2,,
405841,,Videocon Internet,,,*99#,vinternet.com,2,,
405840,,Jionet,,,*99#,jionet,0,,
405839,,Videocon Internet,,,*99#,vinternet.com,2,,
405838,,Videocon Internet,,,*99#,vinternet.com,2,,
405837,,Videocon Internet,,,*99#,vinternet.com,2,,
405836,,Videocon Internet,,,*99#,vinternet.com,2,,
405835,,Videocon Internet,,,*99#,vinternet.com,2,,
405834,,Videocon Internet,,,*99#,vinternet.com,2,,
405833,,Videocon Internet,,,*99#,vinternet.com,2,,
405832,,Videocon Internet,,,*99#,vinternet.com,2,,
405831,,Videocon Internet,,,*99#,vinternet.com,2,,
405830,,Videocon Internet,,,*99#,vinternet.com,2,,
405829,,Videocon Internet,,,*99#,vinternet.com,2,,
405828,,Videocon Internet,,,*99#,vinternet.com,2,,
405827,,Videocon Internet,,,*99#,vinternet.com,2,,
405826,,Videocon Internet,,,*99#,vinternet.com,2,,
405825,,Videocon Internet,,,*99#,vinternet.com,2,,
405824,,Videocon Internet,,,*99#,vinternet.com,2,,
405823,,Videocon Internet,,,*99#,vinternet.com,2,,
405822,,UNINOR Internet,,,*99#,uninor,2,,
405821,,UNINOR Internet,,,*99#,uninor,2,,
405820,,UNINOR Internet,,,*99#,uninor,2,,
405819,,UNINOR Internet,,,*99#,uninor,2,,
405818,,UNINOR Internet,,,*99#,uninor,2,,
405817,,UNINOR Internet,,,*99#,uninor,2,,
405816,,UNINOR Internet,,,*99#,uninor,2,,
405815,,UNINOR Internet,,,*99#,uninor,2,,
405814,,UNINOR Internet,,,*99#,uninor,2,,
405813,,UNINOR Internet,,,*99#,uninor,2,,
405812,,Aircel Online,,,*99#,aircelgprs,2,,
405811,,Aircel Online,,,*99#,aircelgprs,2,,
405810,,Aircel Online,,,*99#,aircelgprs,2,,
405809,,Aircel Online,,,*99#,aircelgprs,2,,
405808,,Aircel Online,,,*99#,aircelgprs,2,,
405807,,Aircel Online,,,*99#,aircelgprs,2,,
405806,,Aircel Online,,,*99#,aircelgprs,2,,
405805,,Aircel Online,,,*99#,aircelgprs,2,,
405804,,Aircel Online,,,*99#,aircelgprs,2,,
405803,,Aircel Online,,,*99#,aircelgprs,2,,
405802,,Aircel Online,,,*99#,aircelgprs,2,,
405801,,Aircel Online,,,*99#,aircelgprs,2,,
405800,,Aircel Online,,,*99#,aircelgprs,2,,
405799,,Idea Internet,,,*99#,internet,2,,
405756,,Vodafone Connect,,,*99#,www,2,,
405755,,Vodafone Connect,,,*99#,www,2,,
405754,,Vodafone Connect,,,*99#,www,2,,
405753,,Vodafone Connect,,,*99#,www,2,,
405752,,Vodafone Connect,,,*99#,www,2,,
405751,,Vodafone Connect,,,*99#,www,2,,
405750,,Vodafone Connect,,,*99#,www,2,,
405047,,TATA DOCOMO INTERNET,,,*99#,TATA.DOCOMO.INTERNET,2,,
405047,,Tata Docomo 3G,,,*99#,tatadocomo3g,2,,
405046,,TATA DOCOMO INTERNET,,,*99#,TATA.DOCOMO.INTERNET,2,,
405046,,Tata Docomo 3G,,,*99#,tatadocomo3g,2,,
405045,,TATA DOCOMO INTERNET,,,*99#,TATA.DOCOMO.INTERNET,2,,
405045,,Tata Docomo 3G,,,*99#,tatadocomo3g,2,,
405044,,TATA DOCOMO INTERNET,,,*99#,TATA.DOCOMO.INTERNET,2,,
405044,,Tata Docomo 3G,,,*99#,tatadocomo3g,2,,
405043,,TATA DOCOMO INTERNET,,,*99#,TATA.DOCOMO.INTERNET,2,,
405043,,Tata Docomo 3G,,,*99#,tatadocomo3g,2,,
405042,,TATA DOCOMO INTERNET,,,*99#,TATA.DOCOMO.INTERNET,2,,
405042,,Tata Docomo 3G,,,*99#,tatadocomo3g,2,,
405041,,TATA DOCOMO INTERNET,,,*99#,TATA.DOCOMO.INTERNET,2,,
405041,,Tata Docomo 3G,,,*99#,tatadocomo3g,2,,
405040,,TATA DOCOMO INTERNET,,,*99#,TATA.DOCOMO.INTERNET,2,,
405040,,Tata Docomo 3G,,,*99#,tatadocomo3g,2,,
405039,,TATA DOCOMO INTERNET,,,*99#,TATA.DOCOMO.INTERNET,2,,
405039,,Tata Docomo 3G,,,*99#,tatadocomo3g,2,,
405038,,TATA DOCOMO INTERNET,,,*99#,TATA.DOCOMO.INTERNET,2,,
405038,,Tata Docomo 3G,,,*99#,tatadocomo3g,2,,
405037,,TATA DOCOMO INTERNET,,,*99#,TATA.DOCOMO.INTERNET,2,,
405037,,Tata Docomo 3G,,,*99#,tatadocomo3g,2,,
405036,,TATA DOCOMO INTERNET,,,*99#,TATA.DOCOMO.INTERNET,2,,
405036,,Tata Docomo 3G,,,*99#,tatadocomo3g,2,,
405035,,TATA DOCOMO INTERNET,,,*99#,TATA.DOCOMO.INTERNET,2,,
405035,,Tata Docomo 3G,,,*99#,tatadocomo3g,2,,
405034,,TATA DOCOMO INTERNET,,,*99#,TATA.DOCOMO.INTERNET,2,,
405034,,Tata Docomo 3G,,,*99#,tatadocomo3g,2,,
405033,,TATA DOCOMO INTERNET,,,*99#,TATA.DOCOMO.INTERNET,2,,
405033,,Tata Docomo 3G,,,*99#,tatadocomo3g,2,,
405032,,TATA DOCOMO INTERNET,,,*99#,TATA.DOCOMO.INTERNET,2,,
405032,,Tata Docomo 3G,,,*99#,tatadocomo3g,2,,
405031,,TATA DOCOMO INTERNET,,,*99#,TATA.DOCOMO.INTERNET,2,,
405031,,Tata Docomo 3G,,,*99#,tatadocomo3g,2,,
405030,,TATA DOCOMO INTERNET,,,*99#,TATA.DOCOMO.INTERNET,2,,
405030,,Tata Docomo 3G,,,*99#,tatadocomo3g,2,,
405029,,TATA DOCOMO INTERNET,,,*99#,TATA.DOCOMO.INTERNET,2,,
405029,,Tata Docomo 3G,,,*99#,tatadocomo3g,2,,
405028,,TATA DOCOMO INTERNET,,,*99#,TATA.DOCOMO.INTERNET,2,,
405028,,Tata Docomo 3G,,,*99#,tatadocomo3g,2,,
405027,,TATA DOCOMO INTERNET,,,*99#,TATA.DOCOMO.INTERNET,2,,
405027,,Tata Docomo 3G,,,*99#,tatadocomo3g,2,,
405026,,TATA DOCOMO INTERNET,,,*99#,TATA.DOCOMO.INTERNET,2,,
405026,,Tata Docomo 3G,,,*99#,tatadocomo3g,2,,
405025,,TATA DOCOMO INTERNET,,,*99#,TATA.DOCOMO.INTERNET,2,,
405025,,Tata Docomo 3G,,,*99#,tatadocomo3g,2,,
376350,,FLOW Prepaid Internet,,,*99#,ppinternet,0,,
376350,,FLOW Postpaid Internet,,,*99#,internet,0,,
376350,,LIME INTERNET,,,*99#,internet,0,,
376350,,LIME PPINTERNET,,,*99#,ppinternet,0,,
374130,,DIGICEL INTERNET,,,*99#,web,0,,
374129,,Blink,,,*99#,ltemwa,0,,
374120,,LIME INTERNET,,,*99#,internet,0,,
374120,,LIME PPINTERNET,,,*99#,ppinternet,0,,
372010,,DIGICEL INTERNET,,,*99#,web,0,,
366110,,FLOW Prepaid Internet,,,*99#,ppinternet,0,,
366110,,LIME INTERNET,,,*99#,internet,0,,
366110,,LIME PPINTERNET,,,*99#,ppinternet,0,,
365840,,FLOW Prepaid Internet,,,*99#,ppinternet,0,,
365840,,FLOW Postpaid Internet,,,*99#,internet,0,,
365840,,LIME INTERNET,,,*99#,internet,0,,
365840,,LIME PPINTERNET,,,*99#,ppinternet,0,,
364490,,Bealiv Internet,,,*99#,pda.newcomobile.com,0,,
364390,,BTC INTERNET,,,*99#,internet.btcbahamas.com,0,,
363020,,Digicel Web,,,*99#,web,0,,
362690,,DIGICEL INTERNET,,,*99#,web,0,,
360110,,FLOW Prepaid Internet,,,*99#,ppinternet,0,,
360110,,FLOW Postpaid Internet,,,*99#,internet,0,,
360110,,LIME INTERNET,,,*99#,internet,0,,
360110,,LIME PPINTERNET,,,*99#,ppinternet,0,,
360070,,Digicel LTE,,,*99#,web.digiceloecs.com,0,,
360070,,Digicel Web,,,*99#,web,0,,
358110,,FLOW Prepaid Internet,,,*99#,ppinternet,0,,
358110,,FLOW Postpaid Internet,,,*99#,internet,0,,
358110,,LIME INTERNET,,,*99#,internet,0,,
358110,,LIME PPINTERNET,,,*99#,ppinternet,0,,
356110,,FLOW Prepaid Internet,,,*99#,ppinternet,0,,
356110,,FLOW Postpaid Internet,,,*99#,internet,0,,
356110,,LIME INTERNET,,,*99#,internet,0,,
356110,,LIME PPINTERNET,,,*99#,ppinternet,0,,
354860,,FLOW Prepaid Internet,,,*99#,ppinternet,0,,
354860,,FLOW Postpaid Internet,,,*99#,internet,0,,
354860,,LIME INTERNET,,,*99#,internet,0,,
354860,,LIME PPINTERNET,,,*99#,ppinternet,0,,
352110,,FLOW Prepaid Internet,,,*99#,ppinternet,0,,
352110,,FLOW Postpaid Internet,,,*99#,internet,0,,
352110,,LIME INTERNET,,,*99#,internet,0,,
352110,,LIME PPINTERNET,,,*99#,ppinternet,0,,
352030,,Digicel Web,,,*99#,web,0,,
348770,,DIGICEL INTERNET,,,*99#,web,0,,
348170,,FLOW Prepaid Internet,,,*99#,ppinternet,0,,
348170,,FLOW Postpaid Internet,,,*99#,internet,0,,
348170,,LIME INTERNET,,,*99#,internet,0,,
348170,,LIME PPINTERNET,,,*99#,ppinternet,0,,
346140,,FLOW Prepaid Internet,,,*99#,ppinternet,0,,
346140,,FLOW Postpaid Internet,,,*99#,internet,0,,
346140,,LIME INTERNET,,,*99#,internet,0,,
346140,,LIME PPINTERNET,,,*99#,ppinternet,0,,
344920,,LIME INTERNET,,,*99#,internet,0,,
344920,,LIME PPINTERNET,,,*99#,ppinternet,0,,
344920,,FLOW Prepaid Internet,,,*99#,ppinternet,0,,
344920,,FLOW Postpaid Internet,,,*99#,internet,0,,
342750,,Digicel Web,,,*99#,web,0,,
342600,,FLOW Prepaid Internet,,,*99#,ppinternet,0,,
342600,,FLOW Postpaid Internet,,,*99#,internet,0,,
342600,,LIME INTERNET,,,*99#,internet,0,,
342600,,LIME PPINTERNET,,,*99#,ppinternet,0,,
340020,,DIGICEL INTERNET,,,*99#,web.digicelfr.com,0,,
338180,,FLOW Prepaid Internet,,,*99#,ppinternet,0,,
338180,,FLOW Postpaid Internet,,,*99#,internet,0,,
338180,,LIME INTERNET,,,*99#,internet,0,,
338180,,LIME PPINTERNET,,,*99#,ppinternet,0,,
338050,837,Digicel LTE,,,*99#,internet.tc,0,,
338050,834,Digicel LTE,,,*99#,internet.ag,0,,
338050,9,Digicel Web,,,*99#,internet.ha,0,,
338050,6,Digicel LTE,,,*99#,internet,0,,
338050,0,Digicel Web,,,*99#,web.digiceljamaica.com,0,,
338050,,Digicel Web,,,*99#,web,0,,
338020,,Caricel LTE,,,*99#,caricel,0,,
334050,,Modem,iusacellgsm,iusacellgsm,*99#,modem.iusacellgsm.mx,0,,
334030,,Movistar WIFI,,,*99#,aaaft.movistar.mx,0,,
334020,,Internet,webgprs,webgprs2002,*99#,internet.itelcel.com,1,,
330110,,Internet Claro,,,*99#,ba.amx,0,,
311900,,GIGSKY,,,*99#,GIGSKY,2,,
310840,,FooConnect,openroamer.com,,*99#,openroamer.com,0,,
310260,,TMO-Data,,,*99***1#,epc.tmobile.com,1,,
310260,,TMO-Data_LTE,,,*99***1#,fast.t-mobile.com,1,,
302720,,Rogers HSPA,,,*99#,internet.com,0,,
302720,,Rogers LTE,,,*99#,lteinternet.apn,0,,
302660,,MTS,,,*99#,internet.mts,0,,
302610,,Bell,,,*99#,inet.bell.ca,0,,
302500,,Videotron,,,*99#,ihvm.videotron,0,,
302500,,Videotron LTE,,,*99#,ihvm.ng,0,,
302490,,WIND Mobile,,,*99#,broadband.windmobile.ca,0,,
302320,,Mobilicity,,,*99#,internet.davewireless.com,0,,
302270,,Eastlink Internet,,,*99#,wisp.mobi.eastlink.ca,0,,
302220,,TELUS ISP,,,*99#,isp.telus.com,0,,
302220,,TELUS VPN,,,*99#,vpn.telus.com,0,,
234258,,FooConnect,openroamer.com,,*99#,openroamer.com,0,,
234180,,C9,,,*99#,globaldata,0,,
74810,,Claro LTE 4G,ctigprs,ctigprs999,*99#,ba.amx,2,,
74807,,Movistar UY LTE,movistar,movistar,*99#,apnumt.movistar.com.uy,0,,
74801,,Vera 1,,,*99#,antel.lte,0,,
74801,,Vera 2,,,*99#,vera.antel,0,,
74603,,DIGICEL INTERNET,,,*99#,web,0,,
74406,,COPACO LTE 4G,,,*99#,vox.internet,0,,
74405,,INTERNET PERSONAL,personal,personal,*99#,internetba,2,,
74404,,TIGO Internet,tigo,tigo,*99#,broadband.tigo.py,2,,
74402,,Claro AMX,clarogprs,clarogprs999,*99#,ba.amx,2,,
74401,,VOX LTE 4G,vox,vox,*99#,vox.internet,2,,
74401,,COPACO LTE 4G,,,*99#,vox.internet,0,,
74001,,Banda Ancha Móvil,,,*99#,internet.ono.com,2,,
74000,,movistar,,,*99#,navega.movistar.ec,2,,
73801,,Digicel Web,,,*99#,web,0,,
73603,,TIGO Internet,,,*99#,internet.tigo.bo,2,,
73602,,ENTEL 4G,,,*99#,4g.entel,0,,
73602,,ENTEL 2G,,,*99#,int.movil.com.bo,0,,
73601,,VIVA Internet,,,*99#,internet.nuevatel.com,2,,
73406,,Movilnet,,,*99#,int.movilnet.com.ve,2,,
73404,,Movistar INTERNET,,,*99#,internet.movistar.ve,2,,
73403,,DIGITEL,,,*99#,internet.digitel.ve,2,,
73402,,DIGITEL,,,*99#,internet.digitel.ve,2,,
73401,,DIGITEL,,,*99#,internet.digitel.ve,2,,
73099,,Will,,,*99#,,0,,
73019,,Falabella,,,*99#,internet.movilfalabella.com,1,,
73018,,Bunker,,,*99#,,0,,
73017,,Compatel,,,*99#,,0,,
73016,,Nomade,,,*99#,,0,,
73015,,Cibeles,,,*99#,,0,,
73014,,Netline,,,*99#,,0,,
73013,,Virgin Mobile,,,*99#,imovil.virginmobile.cl,0,,
73012,,Telestar,,,*99#,,0,,
73011,,Celupago,,,*99#,,0,,
73010,,BAM Entel,entelpcs,entelpcs,*99#,imovil.entelpcs.cl,2,,
73009,,Datacard WOM,,,*99#,datacard,2,,
73008,,Vtr Movil,vtrmovil,vtrmovil,*99#,movil.vtr.com,2,,
73007,02,Virgin,,,*99#,imovil.virginmobile.cl,2,,
73007,01,GTD Movil,,,*99#,web.gtdmovil.cl,2,,
73006,,Telsur,,,*99#,,0,,
73005,,Vtr Internet,vtr,vtr,*99#,bam.vtr.com,0,,
73004,,Datacard WOM,,,*99#,datacard,0,,
73003,,Claro Prepago,clarochile,clarochile,*99#,bap.clarochile.cl,1,,
73003,,Claro Postpago,clarochile,clarochile,*99#,bam.clarochile.cl,1,,
73003,,Claro,,,*99#,ba.amx,0,,
73002,,Movistar,web,web,*99#,web.tmovil.cl,2,,
73001,,BAM Entel,entelpcs,entelpcs,*99#,imovil.entelpcs.cl,0,,
72439,,Nextel 3G Dados,,,*99#,datacard.nextel3G.net.br,2,,
72438,,Claro Dados,claro,claro,*99***1#,bandalarga.claro.com.br,2,,
72434,,ALGAR TELECOM,ctbc,1212,*99#,ctbc.br,1,,
72433,,ALGAR TELECOM,ctbc,1212,*99#,ctbc.br,1,,
72432,,ALGAR TELECOM,ctbc,1212,*99#,ctbc.br,1,,
72431,,Oi Velox,oi,oi,*99#,gprs.oi.com.br,1,,
72424,,Oi Velox,oi,oi,*99#,gprs.oi.com.br,1,,
72423,,Vivo,vivo,vivo,*99#,zap.vivo.com.br,1,,
72416,,Oi Velox,oi,oi,*99#,gprs.oi.com.br,1,,
72411,,Vivo,vivo,vivo,*99#,zap.vivo.com.br,1,,
72410,,Vivo,vivo,vivo,*99#,zap.vivo.com.br,1,,
72408,,72408,,,*99#,,0,,
72406,,Vivo,vivo,vivo,*99#,zap.vivo.com.br,1,,
72405,,Claro Dados,claro,claro,*99***1#,bandalarga.claro.com.br,2,,
72404,,TIM BR,tim,tim,*99#,timbrasil.br,2,,
72403,,TIM BR,tim,tim,*99#,timbrasil.br,2,,
72402,,TIM BR,tim,tim,*99#,timbrasil.br,2,,
72234,,Personal Internet Movil,internet,internet,*99#,internet.personal.com,2,,
72207,,Movistar 4G,wap,wap,*99#,wap.gprs.unifon.com.ar,0,,
71617,,BAM Entel,,,*99#,bam.entel.pe,1,,
71610,,CLARO DATOS,amx,amx,*99#,ba.amx,2,,
71606,,movistar INTERNET,movistar@datos,movistar,*99#,movistar.pe,1,,
71404,,Digicel Web,,,*99#,web,0,,
71403,,Claro,,,*99#,ba.amx,0,,
71402,,Movistar INTERNET,movistarpa,movistarpa,*99#,internet.movistar.pa,0,,
71401,,CWP,,,*99#,apn01.cwpanama.com.pa,2,,
71401,,LIME INTERNET,,,*99#,internet,0,,
71401,,LIME PPINTERNET,,,*99#,ppinternet,0,,
71401,,Internet,,,*99#,apn01.cwpanama.com.pa,0,,
71204,,Movistar Internet,movistarcr,movistarcr,*99#,internet.movistar.cr,0,,
71203,,CLARO,,,*99#,ba.amx,0,,
71202,,Internet and streaming,,,*99#,kolbi3g,0,,
71201,,Internet and streaming,,,*99#,kolbi3g,0,,
71073,,Internet CLARO,,,*99#,BA.AMX,0,,
71030,,Movistar INTERNET,movistarni,movistarni,*99#,internet.movistar.ni,0,,
71021,,Internet CLARO,,,*99#,BA.AMX,0,,
70804,,Digicel Web,,,*99#,internet,0,,
70802,,BROADBAND TIGO HN,,,*99#,broadband.tigo.hn,0,,
70604,,Movistar INTERNET,movistarsv,movistarsv,*99#,internet.movistar.sv,0,,
70603,,BROADBAND TIGO SV,,,*99#,Broadband.tigo.sv,0,,
70602,,Digicel Web,,,*99#,web,0,,
70601,,Internet CLARO,,,*99#,BA.AMX,0,,
70403,,Movistar INTERNET,movistargt,movistargt,*99#,internet.movistar.gt,0,,
70402,,BROADBAND TIGO GT,,,*99#,broadband.tigo.gt,0,,
70401,,Internet CLARO,,,*99#,BA.AMX,0,,
65519,,RAIN,,,*99#,internet,2,,
65514,,Neotel,,,*99#,staticip,0,,
65510,,MTN Data,MTN,MTN,*99#,myMTN,1,,
65510,,MTN GPRS,mtnwap,mtnwap,*99#,myMTN,0,,
65507,,Cell C,,,*99#,internet,2,,
65502,,TelkomSA,,,*99#,internet,2,,
65502,,VTEL MEA,,,*99#,internet,0,,
65501,,Vodacom,,,*99#,internet,2,,
65402,,Telma,,,*99#,www,0,,
65401,,CT,,,*99#,www,0,,
65204,,beMOBILE,,,*99#,internet.be,0,,
65202,,Orange business,,,*99#,businesskonnecta.orange.co.bw,0,,
65202,,Orange home,,,*99#,homekonnecta.orange.co.bw,0,,
65201,,Mascom Internet,,,*99#,internet.mascom,2,,
65010,,Airtel Malawi,,,*99#,internet,0,,
65001,,TNM Malawi,,,*99#,Internet,0,,
64903,,tn mobile,,,*99#,internet,2,,
64901,,Netman Prepaid,ppsuser,ppsuser,*99#,ppsinternet,2,,
64901,,Netman Postpaid,,,*99#,internet,2,,
64901,,MTC Netman,,,*99#,internet,2,,
64804,,Econet,,,*99#,econet.net,2,,
64803,,Telecel,,,*99#,internet,0,,
64801,,Netone,,,*99#,netone.internet,0,,
64710,,SFR Reunion,,,*99#,websfr,2,,
64710,,SFR Modem,,,*99#,websfr,0,,
64702,,ONLY,,,*99#,onlywap,0,,
64700,,Business Everywhere,orange,orange,*99#,orangerun,2,,
64700,,Internet Everywhere,orange,orange,*99#,orangerun,2,,
64605,,iblueline,,,*99#,iblueline,0,,
64605,,blueline,,,*99#,blueline,0,,
64604,,TELMA,,,*99#,internet,0,,
64602,,orangenet,,,*99#,orangenet,0,,
64601,,airtel,,,*99#,internet,0,,
64507,,CEC Liquid,,,*99#,internet,0,,
64505,,Vodafone ZM,,,*99#,internet,0,,
64503,,Zamtel,,,*99#,zamtel.net,0,,
64502,,MTN ZAMBIA,,,*99#,Internet,2,,
64501,,Celtel Internet,,,*99#,internet,2,,
64301,,mcel-netmóvel turbo pré-pago,,,*99#,pre.mcel.mz,2,,
64301,,mcel-netmovel turbo post-paid,,,*99#,isp.mcel.mz,2,,
64282,,Econetleo Burundi uc,,,*99#,ucnet,0,,
64282,,Econetleo Burundi eco,,,*99#,econetleo,0,,
64208,,Viettel Burundi,,,*99#,internet,0,,
64207,,Lacell Burundi,,,*99#,internet,0,,
64203,,Onatel,,,*99#,internet,0,,
64201,,Econetleo Burundi uc,,,*99#,ucnet,0,,
64201,,Econetleo Burundi eco,,,*99#,econetleo,0,,
64133,,Smile Communications Uganda,,,*99#,internet,0,,
64130,,k2 telecom,,,*99#,apnk2,0,,
64122,,Airtel Uganda,,,*99#,internet,2,,
64118,,Suretelecom Uganda Ltd.,,,*99#,smart.ug,2,,
64114,,Africell Uganda,,,*99#,africell.ug,2,,
64111,,Uganda Telecom web,,,*99#,utweb,0,,
64111,,Uganda Telecom wap,,,*99#,utwap,0,,
64111,,Uganda Telecom 3g,,,*99#,utwap.3g,0,,
64110,,MTN Uganda,,,*99#,internet,2,,
64106,,Vodafone Uganda,,,*99#,internet,0,,
64104,,tangerine,,,*99#,corporate,2,,
64101,,Airtel Uganda,,,*99#,internet,2,,
64011,,Smile 4G,,,*99#,internet,2,,
64009,,Halotel Internet,,,*99#,internet,2,,
64008,,Smart TZ,,,*99#,internet,2,,
